ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_coastalyukiyuki1243b,Coastal_Yuki_yuki1243b,yuki1243,yuk,Northern Yukian,,39.8389,-123.296,varikin,Coastal_Yuki_yuki1243b.txt,NA,,NA,Varikin
v_cocopacoco1261,Cocopa_coco1261,coco1261,coc,Cocopa,,32.376,-114.848,varikin,Cocopa_coco1261.txt,NA,,NA,Varikin
v_cofancofa1242,Cofan_cofa1242,cofa1242,con,Cofán,,0.276675,-77.0643,varikin,Cofan_cofa1242.txt,NA,,NA,Varikin
v_colloquialmalaymala1479,Colloquial_Malay_mala1479,mala1479,zlm,Colloquial Malay,Austronesian,1.85856,103,varikin,Colloquial_Malay_mala1479.txt,NA,,NA,Varikin
v_coloradouteutee1244a,Colorado_Ute_utee1244a,utee1244,,Ute,Uto-Aztecan,38,-109,varikin,Colorado_Ute_utee1244a.txt,NA,,NA,Varikin
v_comanchecoma1245,Comanche_coma1245,coma1245,com,Comanche,Uto-Aztecan,34,-101,varikin,Comanche_coma1245.txt,NA,,NA,Varikin
v_coraelna1235,Cora_elna1235,elna1235,crn,El Nayar Cora,Uto-Aztecan,22.4099,-104.467,varikin,Cora_elna1235.txt,NA,,NA,Varikin
v_cornishcorn1251,Cornish_corn1251,corn1251,cor,Cornish,Indo-European,50.5233,-4.18619,varikin,Cornish_corn1251.txt,NA,,NA,Varikin
v_cruzenocruz1243,Cruzeño_cruz1243,cruz1243,crz,Cruzeño,,34.0465,-119.864,varikin,Cruzeño_cruz1243.txt,NA,,NA,Varikin
v_cubeocube1242,Cubeo_cube1242,cube1242,cub,Cubeo,,1.32382,-70.1939,varikin,Cubeo_cube1242.txt,NA,,NA,Varikin
v_cupenocupe1243,Cupeño_cupe1243,cupe1243,cup,Cupeño,Uto-Aztecan,33.3148,-116.515,varikin,Cupeño_cupe1243.txt,NA,,NA,Varikin
v_cuscoquechuacusc1236,Cusco_Quechua_cusc1236,cusc1236,quz,Cusco Quechua,,-14.0853,-71.7663,varikin,Cusco_Quechua_cusc1236.txt,NA,,NA,Varikin
v_czechczec1258,Czech_czec1258,czec1258,ces,Czech,Indo-European,49.873398,15.10437,varikin,Czech_czec1258.txt,NA,,NA,Varikin
v_dandamimariadand1238,Dandami_Maria_dand1238,dand1238,daq,Dandami Maria,Dravidian,18.7475,81.3598,varikin,Dandami_Maria_dand1238.txt,NA,,NA,Varikin
v_danishdani1285,Danish_dani1285,dani1285,dan,Danish,Indo-European,54.8655,9.36284,varikin,Danish_dani1285.txt,NA,,NA,Varikin
v_dargwachiragchir1284,Dargwa_Chirag__chir1284,chir1284,,Chirag,Nakh-Daghestanian,41.869481,47.41111,varikin,Dargwa_Chirag__chir1284.txt,NA,,NA,Varikin
v_dargwaitsariitsa1239,Dargwa_Itsari__itsa1239,icar1234,,Icari,Nakh-Daghestanian,,,varikin,Dargwa_Itsari__itsa1239.txt,NA,,NA,Varikin
v_daridari1249,Dari_dari1249,dari1249,prs,Dari,Indo-European,31.0405,67.3593,varikin,Dari_dari1249.txt,NA,,NA,Varikin
v_degexitandege1248,Degexit_an_dege1248,dege1248,ing,Degexit'an,,62.0697,-160.044,varikin,Degexit_an_dege1248.txt,NA,,NA,Varikin
v_delinenort2942,Délįne_nort2942,nort2942,scs,North Slavey,,63.2671,-123.641,varikin,Délįne_nort2942.txt,NA,,NA,Varikin
v_denesulinechip1261,Dene_Suliné_chip1261,chip1261,chp,Chipewyan,,58.98,-104.44,varikin,Dene_Suliné_chip1261.txt,NA,,NA,Varikin
